filename,Long timegap setting
handling_part5,BMW_I3
handling_part6,BMW_I3
handling_part7,BMW_I3
handling_part12,BMW_I3/MERCEDES_GLE450
handling_part17,BMW_I3/MERCEDES_GLE450
handling_part18,BMW_I3/MERCEDES_GLE450
handling_part19,BMW_I3/MERCEDES_GLE450
handling_part24,MERCEDES_GLE450/JAGUAR_I_PACE
handling_part28,TESLA_MODELX/TESLA_MODELS
handling_part32,MERCEDES_GLE450/JAGUAR_I_PACE
handling_part33,TESLA_MODELX/TESLA_MODELS
handling_part37,TESLA_MODELX/TESLA_MODELS
handling_part46,MERCEDES_GLE450/JAGUAR_I_PACE
